,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,Kat-3,Kat-6,CV_Kat-3,CV_Kat-6,rt_predicted,rt_predicted_sd
0,DiAcids_00,Dodecanedioic acid,Dodecanedioic acid,C12 H22 O4,230.15159,4.997,1.0,C(CCCCCC(=O)O)CCCCC(=O)O,C(CCCCCC(=O)O)CCCCC(=O)O,3.2,DiAcids,0.1054003787912734,-0.0705692377133573,-0.01454969160892,-0.1933978928842918,-0.3646294146384434,-0.204802681747708,-0.0165870797690388,-0.2247637817648069,-0.2247637817648069,-0.352636206347114,-0.3099962847524011,-0.3565897129481641,-0.3897751152276782,0.2072800093924058,0.1054003787912734,0.175389088659756,0.0688177293505418,-0.034146871574535,0.297766844436353,-0.1808539302484462,-0.0937122055537713,0.0144152325428592,C O4,11,5.421058468842941,C8 H14,4,3.66902627826308,C4 H6,4,1.2276083806462983,C8 H22,4,4.2212006114300165,C12 O4,11,103.18242345007366,C8 H22,4,2.686351657939972,C12 H14,4,8.778711452140977,C12 H22,4,10.38906143992454,C12 H22,2,5.194530719962271,C12 H22 O4,0,7.198526737036113,C12 H22 O4,0,4.79812949214484,C12 H22 O4,0,6.581623117014909,C12 H22 O4,0,2.916329044676023,C12 H22 O4,0,13.517231696245524,C2 H2 O4,5,3.210529234421471,C6 H6 O4,2,3.223291586074505,C6 H6 O2,2,1.8321900208013635,C2 H10 O2,2,0.8052971456959301,C7 H2 O4,5,9.356403244684618,C4 H22,4,1.7545268286364564,C4 H14,4,1.4784269366136484,C3 H4 O,3,0.9652724792534532,,,,,,,,,,,,,4.518066936903677,0.08592368515357661
1,DiAcids_01,Sebacic acid,Decanedioic acid,C10 H18 O4,202.12041,4.38,1.0,C(CCCCC(=O)O)CCCC(=O)O,C(CCCCC(=O)O)CCCC(=O)O,2.1,DiAcids,0.1052803840088643,-0.0492571146695581,-6.043683367806807e-05,-0.1571259247129433,0.4489087527712456,-0.1671416739025915,-0.0018496824793601,-0.184671623269935,-0.184671623269935,-0.2969698997418106,-0.2595232827747509,-0.3004418912894095,-0.3295854966616218,0.1947516438326317,0.1052803840088643,0.1667448593747735,0.0731532972316415,-0.0172707895819996,0.2742176870552271,-0.1461097467626757,-0.0695813981060382,0.0253767211072215,C O4,9,5.421058468842941,C6 H10,4,2.7349785379405938,C2 H2,4,0.5909127144607015,C6 H18,4,3.2199008928974027,C10 O4,9,91.27559476826588,C6 H18,4,2.0491293587458865,C10 H10,4,7.222330482377413,C10 H18,4,8.63654816957402,C10 H18,2,4.31827408478701,C10 H18 O4,0,6.32178340764666,C10 H18 O4,0,4.213742133528617,C10 H18 O4,0,5.780015458226924,C10 H18 O4,0,2.5611352488303507,C10 H18 O4,0,11.870902780007524,C2 H2 O4,4,3.210529234421471,C4 H2 O4,2,2.5871216831434487,C4 H2 O2,2,1.3654490944387294,H6 O2,2,0.4636264609445596,C6 H2 O4,4,8.607867573622459,C2 H18,4,1.0536552204444505,C2 H10,4,0.8111828674194087,C O,3,0.4823227976872983,,,,,,,,,,,,,3.1160073988269477,0.0612485880297901
2,DiAcids_02,Azelaic acid,Nonanedioic acid,C9 H16 O4,188.10473,3.977,1.0,C(CCCC(=O)O)CCCC(=O)O,C(CCCC(=O)O)CCCC(=O)O,1.6,DiAcids,0.1053102861224601,-0.03851108483056,0.0072741369648099,-0.1388999242784336,0.3557671376912026,-0.1482211491714054,0.0056089633730209,-0.1645355154081187,-0.1645355154081187,-0.2690466678207315,-0.2341967198416625,-0.2722779002955633,-0.2994005942371132,0.1885773207178545,0.1053102861224601,0.1625126168682698,0.0754109949824908,-0.0087427945115052,0.2625329326451719,-0.1286476435762438,-0.0574260170151035,0.0309474004735932,C O4,8,5.421058468842941,C5 H8,4,2.2679546677793514,C,4,0.272564881367903,C5 H16,4,2.719251033631096,C9 O4,8,85.32218042736201,C5 H16,4,1.730518209148844,C9 H8,4,6.444139997495632,C9 H16,4,7.760291534398758,C9 H16,2,3.880145767199379,C9 H16 O4,0,5.883411742951935,C9 H16 O4,0,3.921548454220506,C9 H16 O4,0,5.379211628832931,C9 H16 O4,0,2.3835383509075148,C9 H16 O4,0,11.047738321888524,C O4,4,2.7105292344214704,C3 O4,2,2.269036731677921,C3 O2,2,1.1320786312574125,C4 H10 O3,1,1.2927911185688743,C5 O4,4,7.733599738091378,C H16,4,0.7032194163484474,C H8,4,0.4775608328222888,C3 H4 O2,2,1.240847956904221,,,,,,,,,,,,,2.613150345394115,0.050558336931937134
3,DiAcids_03,Hexadecanedioic acid,Hexadecanedioic acid,C16 H30 O4,286.21423,5.8,1.0,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,5.4,DiAcids,0.1053606810079372,-0.1134733852319982,-0.0438080344375748,-0.2662218800899154,0.008016424539619,-0.2804047621759196,-0.0463417101052527,-0.3052281877770042,-0.3052281877770042,-0.4642490641483618,-0.4112224814230103,-0.4691656056661486,0.4895653578668089,0.232057177109425,0.1053606810079372,0.1923979450289721,0.0598668617341218,-0.0681788926793842,0.3445857058813999,-0.2506223328221608,-0.1422537500356497,-0.0077875426255786,C O4,15,5.421058468842941,C12 H22,4,5.537121758908049,C8 H14,4,2.5009997130174924,C12 H30,4,6.223800048495245,C16 O4,15,126.9960808136892,C12 H30,4,3.960796256328144,C16 H22,4,11.891473391668104,C16 H30,4,13.894087980625589,C16 H30,2,6.947043990312793,C16 H30 O4,0,8.952013395815019,C16 H30 O4,0,5.966904209377286,C16 H30 O4,0,8.184838434590882,C16 H30 O4,0,3.626716636367368,C16 H30 O4,0,16.809889528721527,C2 H2 O4,7,3.210529234421471,C7 H6 O4,3,3.4956313919366173,C7 H6 O,3,1.7656718735266304,C H12 O,3,0.4886385151986712,C9 H2 O4,7,10.853474586808934,C8 H30,4,3.156270045020469,C8 H22,4,2.812915075002128,C4 H6,4,0.9311718423857624,,,,,,,,,,,,,7.982112057271027,0.11563280822503094
4,DiAcids_04,Tetradecanedioic acid,Tetradecanedioic acid,C14 H26 O4,258.1831,5.448,1.0,C(CCCCCCC(=O)O)CCCCCC(=O)O,C(CCCCCCC(=O)O)CCCCCC(=O)O,4.3,DiAcids,0.1051907420561519,-0.092211244586565,-0.0293687498906365,-0.2299999210013652,-0.1784950198369301,-0.2427937658911787,-0.031654283486489,-0.2651860451790639,-0.2651860451790639,-0.4086328012199942,-0.3607995138589217,-0.4130678285432054,-0.4502950753125105,0.2194788895134252,0.1051907420561519,0.1837037867795743,0.0641524774983395,-0.0513527851726394,0.3209866461221509,-0.2159281556939731,-0.1181729300141682,0.0031239820029895,C O4,13,5.421058468842941,C10 H18,4,4.6030740185855645,C6 H10,4,1.8643040468318957,C10 H26,4,5.222500329962631,C14 O4,13,115.08925213188142,C10 H26,4,3.323573957134057,C14 H18,4,10.33509242190454,C14 H26,4,12.141574710275064,C14 H26,2,6.070787355137532,C14 H26 O4,0,8.075270066425567,C14 H26 O4,0,5.382516850761062,C14 H26 O4,0,7.383230775802896,C14 H26 O4,0,3.2715228405216954,C14 H26 O4,0,15.163560612483526,C2 H2 O4,6,3.210529234421471,C5 H2 O4,3,2.859461489005561,C5 H2 O,3,1.2989309471639967,C4 H14 O2,2,1.1469678304473008,C8 H2 O4,6,10.104938915746777,C6 H26,4,2.455398436828463,C6 H18,4,2.145671005807888,C2 H2,4,0.4482221608196077,,,,,,,,,,,,,6.227209694954914,0.10522567164848493
5,DiAcids_05,Pimelic acid,Heptanedioic acid,C7 H12 O4,160.07334,2.942,1.0,C(CCC(=O)O)CCC(=O)O,C(CCC(=O)O)CCC(=O)O,0.5,DiAcids,0.1054000568511526,-0.0169890357135216,0.0219732666986658,-0.1024179179598547,0.1695136746027969,-0.1103500927728191,0.0205562374803491,-0.1242332901464067,-0.1242332901464067,-0.2131701777724401,-0.1835135733274739,-0.2159198915864522,-0.2390007583409499,0.1762586277099842,0.1054000568511526,0.154078089233792,0.079956361754256,0.0083431803209066,0.2391933652519355,-0.0936934333888359,-0.0330852623775399,0.0421187375677334,C O4,6,5.421058468842941,C3 H4,4,1.3339069274568662,C O,3,0.6358692151823059,C3 H12,4,1.7179513150984818,C7 O4,6,73.41535174555425,C3 H12,4,1.0932959099547583,C7 H4,4,4.887759027732068,C7 H12,4,6.007778264048236,C7 H12,2,3.003889132024118,C7 H12 O4,0,5.006668413562482,C7 H12 O4,0,3.337161095604284,C7 H12 O4,0,4.577603970044945,C7 H12 O4,0,2.028344555061843,C7 H12 O4,0,9.401409405650522,C O4,3,2.7105292344214704,C4 H4 O4,1,2.632866828746865,C4 H4 O3,1,1.665337704894779,C2 H6 O3,1,0.951120433817504,C4 O4,3,6.98506406702922,C H12 O,3,1.0023478081564412,C H6 O,3,0.8103167636280488,C O2,2,0.7578982753380663,,,,,,,,,,,,,1.7895704451805505,0.04757176748209067
6,DiAcids_06,Suberic acid,Octanedioic acid,C8 H14 O4,174.08898,3.499,1.0,C(CCCC(=O)O)CCC(=O)O,C(CCCC(=O)O)CCC(=O)O,1.0,DiAcids,0.105410110073052,-0.0276950796338155,0.014678669082798,-0.1206039111281711,0.2626949791117852,-0.1292306082557388,0.0131375681646659,-0.1443293852907174,-0.1443293852907174,-0.2410533747519707,-0.2088001087297755,-0.2440438469516266,-0.2691456193692261,0.1824728884537023,0.105410110073052,0.1583502749118679,0.0777386256968952,-0.0001448351610235,0.2509180415644323,-0.1111155314892471,-0.0452006535275586,0.0365880293499003,C O4,7,5.421058468842941,C4 H6,4,1.8009307976181088,C2 H2 O,3,0.9542170482751045,C4 H14,4,2.218601174364789,C8 O4,7,79.36876608645812,C4 H14,4,1.411907059551801,C8 H6,4,5.6659495126138495,C8 H14,4,6.884034899223497,C8 H14,2,3.4420174496117486,C8 H14 O4,0,5.445040078257208,C8 H14 O4,0,3.6293547749123936,C8 H14 O4,0,4.978407799438937,C8 H14 O4,0,2.2059414529846784,C8 H14 O4,0,10.22457386376952,C2 H2 O4,3,3.210529234421471,C5 H6 O4,1,2.950951780212393,C5 H6 O3,1,1.898708168076096,C3 H8 O3,1,1.121955776193189,C5 H2 O4,3,7.859331902560299,H14,4,0.3527836122524443,H6,4,0.1439387982251689,C2 H2 O2,2,0.9993731161211435,,,,,,,,,,,,,2.1189752065158327,0.04345022427157109
7,DiAcids_07,Adipic acid,Hexanedioic acid,C6 H10 O4,146.05776,2.284,1.0,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,0.1,DiAcids,0.1053300706260813,-0.0063429706712838,0.0292079000406317,-0.0842919356907145,0.0762728359504194,-0.0915295911623559,0.027914941991014,-0.10419721407834,-0.10419721407834,-0.1853470332051756,-0.1582870792213668,-0.1878559896642571,-0.208915959406994,0.169984460522869,0.1053300706260813,0.1497459887984291,0.0821141552714266,0.016771226420019,0.2274088060857479,-0.0763313429174559,-0.0210298561389095,0.0475894890627728,C O4,5,5.421058468842941,C2 H2,4,0.8668830572956238,C2 H2 O2,2,1.3175213820895073,C2 H10,4,1.217301455832175,C6 O4,5,67.46193740465036,C2 H10,4,0.7746847603577156,C6 H2,4,4.109568542850287,C6 H10,4,5.131521628872974,C6 H10,2,2.565760814436487,C6 H10 O4,0,4.568296748867755,C6 H10 O4,0,3.0449674162961715,C6 H10 O4,0,4.176800140650951,C6 H10 O4,0,1.8507476571390065,C6 H10 O4,0,8.57824494753152,C2 H2 O4,2,3.210529234421471,C3 H2 O4,1,2.3147818772813364,C3 H2 O3,1,1.431967241713462,C H4 O3,1,0.7802850914418187,C4 H2 O4,2,7.110796231498139,H10 O,3,0.6519120040604384,H4 O,3,0.476694729030929,C3 H4 O3,1,1.5164234345549892,,,,,,,,,,,,,1.573080533570429,0.05722677536409192
8,DiAcids_08,Phthalic acid,Phthalic acid,C8 H6 O4,166.0264,3.425,1.0,C1=CC=C(C(=C1)C(=O)O)C(=O)O,C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.7,DiAcids,0.1589873241777581,0.0320466328809914,0.0724579268866421,-0.0565593134645041,0.2626748785592667,-0.0647864825131705,0.070988198949351,-0.079185990141525,-0.079185990141525,-0.1714304031072231,-0.1406708820513245,-0.1742823776182263,-0.1982216120724445,0.2324810954005727,0.1589873241777581,0.2094756720536281,0.1325973887916518,0.0583209433453077,0.2977563492875674,-0.0475103689920217,0.0153517943362828,0.093352599320525,C5 O4,3,8.845801508176905,C5 O,3,2.5322720655106625,C6 H2 O3,1,2.7710852413755225,C4 H6,4,1.930598857965374,C8 O4,3,79.36876608645812,C4 H6,4,1.2286237780002942,C8 O,3,6.218290019461526,C8 H6,4,6.379962170509128,C8 H6,2,3.189981085254564,C8 H6 O4,0,5.192863726782809,C8 H6 O4,0,3.461268327027784,C8 H6 O4,0,4.74784260671844,C8 H6 O4,0,2.1037776012618714,C8 H6 O4,0,9.75104277946368,C6 H2 O4,1,4.922900754088452,C8 H6 O4,0,3.7679711977987296,C8 H6 O4,0,2.764460184717186,C3 O3,1,1.0236815563638106,C7 H2 O4,1,9.356403244684618,H6,4,0.151192976679619,C2 O,3,0.9520204005916104,C5 O3,1,1.860463033134956,,,,,,,,,,,,,1.913006711111943,0.0446953752826007
9,DiAcids_09,Glutaric acid,Pentanedioic acid,C5 H8 O4,132.04209,1.205,1.0,C(CC(=O)O)CC(=O)O,C(CC(=O)O)CC(=O)O,-0.3,DiAcids,0.1053499839057963,0.0043930626880239,0.0365324797934363,-0.0660759370727532,-0.0168787014868598,-0.0726190687432222,0.0353635937092633,-0.084071109395893,-0.084071109395893,-0.1574338100194836,-0.1329705231709965,-0.1597020075775788,-0.1787410673315435,0.1638001530008637,0.1053499839057963,0.1455037604990252,0.0843618625989108,0.0252892265934008,0.2157140712000966,-0.0588792410025291,-0.0088844725332251,0.0531501756420311,C O4,4,5.421058468842941,C,4,0.399859187134381,C O2,2,0.9991735489967088,C H8,4,0.716651596565868,C5 O4,4,61.50852306374649,C H8,4,0.4560736107606728,C5,4,3.3313780579685046,C5 H8,4,4.255264993697714,C5 H8,2,2.127632496848857,C5 H8 O4,0,4.1299250841730295,C5 H8 O4,0,2.7527737369880607,C5 H8 O4,0,3.775996311256959,C5 H8 O4,0,1.6731507592161703,C5 H8 O4,0,7.755080489412521,C O4,2,2.7105292344214704,C2 O4,1,1.996696925815809,C2 O3,1,1.1985967785321452,H2 O3,1,0.6094497490661333,C3 O4,2,6.236528395967062,C H8 O2,2,1.3014761999644353,C H4 O2,2,1.1430726944338092,C2 H2 O3,1,1.2749485937719118,,,,,,,,,,,,,1.3927258803673381,0.07005896022175172
10,DiAcids_10,Succinic acid,Butanedioic acid,C4 H6 O4,118.02643,0.837,1.0,C(CC(=O)O)C(=O)O,C(CC(=O)O)C(=O)O,-0.6,DiAcids,0.1053599083516303,0.0151190995676699,0.0438470655005858,-0.0478699402713402,-0.1100401612813897,-0.0537185486361977,0.0428022512933097,-0.0639550078928437,-0.0639550078928437,-0.1295305955691787,-0.1076639740033442,-0.1315580343980826,-0.148576185605151,0.157605861071616,0.1053599083516303,0.1412515464066928,0.0865995795030016,0.0337972318696273,0.2040093558388491,-0.0414371403590791,0.0032509135872658,0.0587008694341477,C O4,3,5.421058468842941,C O,3,0.9328353169731384,C2 H2 O3,1,1.6808257159039104,H6,4,0.216001737299561,C4 O4,3,55.55510872284261,H6,4,0.13746246116363,C4 O,3,3.553187573086723,C4 H6,4,3.379008358522452,C4 H6,2,1.689504179261226,C4 H6 O4,0,3.691553419478303,C4 H6 O4,0,2.460580057679949,C4 H6 O4,0,3.3751924818629657,C4 H6 O4,0,1.495553861293334,C4 H6 O4,0,6.93191603129352,C2 H2 O4,1,3.210529234421471,C4 H6 O4,0,2.6786119743502805,C4 H6 O4,0,1.9652263153508285,C4 H6 O4,0,1.438614406690448,C3 H2 O4,1,6.362260560435981,H6 O2,2,0.9510403958684324,H2 O2,2,0.8094506598366892,C O3,1,1.0334737529888345,,,,,,,,,,,,,1.2781032825401766,0.08059933016896403
11,DiAcids_11,Malonic acid,Propanedioic acid,C3 H4 O4,104.01083,1.076,1.0,C(C(=O)O)C(=O)O,C(C(=O)O)C(=O)O,-0.8,DiAcids,0.1053098997942783,0.0257851575692598,0.0511016869338618,-0.0297239543691461,-0.2032611552193088,-0.0348780424015586,0.0501809440723235,-0.0438989254660242,-0.0438989254660242,-0.1016874335311541,-0.0824174661318295,-0.1034741146615516,-0.1184713659730647,0.1513516626989712,0.1053098997942783,0.1369394175571017,0.0887773538669307,0.0422452677630218,0.1922447576238966,-0.0240550473446745,0.0153263147963542,0.0641916065034564,C O4,2,5.421058468842941,C O2,2,1.465811446811896,C O3,1,1.3624778828111117,H4 O,3,0.7153518780332541,C3 O4,2,49.60169438193872,H4 O,3,0.4552464761711703,C3 O2,2,3.7749970882049406,C3 H4,4,2.5027517233471914,C3 H4,2,1.2513758616735955,C3 H4 O4,0,3.2531817547835766,C3 H4 O4,0,2.168386378371838,C3 H4 O4,0,2.974388652468973,C3 H4 O4,0,1.3179569633704982,C3 H4 O4,0,6.108751573174519,C O4,1,2.7105292344214704,C3 H4 O4,0,2.3605270228847526,C3 H4 O4,0,1.731855852169511,C3 H4 O4,0,1.2677790643147626,C2 O4,1,5.487992724904903,C H4 O3,1,1.6006045917724296,C H2 O3,1,1.4758286252395696,C3 H4 O4,0,1.791998912205757,,,,,,,,,,,,,1.2103876757787848,0.0877575622209509
